title,price,link,mrp,discount_percentage
"HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6''/39....","₹81,990",https://www.amazon.in/dp/B0FDKS93JV,100594.0,18.49
"HP 15 (2025), Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business...",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0BB76GKSL,46990.0,99.99
"Lenovo 15 (2025), AMD Ryzen 5 7520U Quad Core - (16 GB/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Pro) Thin and Light ...",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0FG8F6GXN,88990.0,99.99
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Midnight","₹82,990",https://www.amazon.in/dp/B0DZDDV7GC,99900.0,16.93
Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Wind...,"₹57,990",https://www.amazon.in/dp/B0F2162VGQ,89390.0,35.13
"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39....","₹99,990",https://www.amazon.in/dp/B0FDKPZHB7,124319.0,19.57
"Sponsored Ad - ASUS Vivobook 15,13th Gen,Intel Core i7-13620H(Intel UHD iGPU/16GB RAM/512GB SSD/FHD/15.6""/60Hz/Backlit Key...","₹56,989",https://www.amazon.in/dp/B0DYDZQYKP,85990.0,33.73
"HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 3050, 16GB DDR4(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, IPS, 15....","₹65,990",https://www.amazon.in/dp/B0DTYZ2CG8,88473.0,25.41
"ASUS Vivobook 15, Smartchoice,AMD Ryzen 7 5825U (AMD Radeon iGPU/16GB RAM/512GB SSD/FHD/15.6""/60Hz/Backlit Keyboard/42Whr/...","₹40,990",https://www.amazon.in/dp/B0FC2LKFSC,57990.0,29.32
"HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, 15.6''/3...","₹66,990",https://www.amazon.in/dp/B0FDKPXD95,84838.0,21.04
"Acer Aspire Lite, Intel Core i3 13th Gen - 1305U, 16GB RAM, 512GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, Steel Gra...","₹31,990",https://www.amazon.in/dp/B0DKK15M2P,52990.0,39.63
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U Processor,(8GB RAM/512GB SSD/14 FHD (1920 x 1080)/Windows 11/M365 Basic (1Year)*/Of...","₹28,985",https://www.amazon.in/dp/B0DTYWK42N,43990.0,34.11
"acer Travel Lite 14[New Launch], AMD Ryzen 3-7330U, 16GB RAM, 512GB SSD, 14inch Full HD, UHD Graphics, Premium Metal Body,...",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0F6MY3GDD,59990.0,99.99
"Acer Aspire 3, Intel Core Celeron N4500, 8GB LPDDR4 RAM, 512GB SSD, HD, 14""/35.56cm, Windows 11 Home, Silver, 1.3KG, A324-...","₹21,970",https://www.amazon.in/dp/B0D7PSTHRD,32999.0,33.42
"ASUS Chromebook CX1405, Intel Celeron N4500 Processor,Chrome OS, Thin & Light Laptop (Integrated Intel UHD Graphics/8GB RA...","₹19,990",https://www.amazon.in/dp/B0FCY4H89L,27990.0,28.58
"HP 14 (2025), Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business ...",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0FP9R4R3X,49990.0,99.99
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U,Thin & Light (AMD Radeon iGPU/8GB RAM/512GB SSD/FHD/14/60Hz/42WHrs/Windows 11/M365 ...","₹28,990",https://www.amazon.in/dp/B0DTYNRVRX,43990.0,34.1
"Lenovo Ideapad Slim 3 13Th Gen Intel Core I5-13420H 15.3""(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Ho...","₹53,120",https://www.amazon.in/dp/B0FBGS6ZW8,82490.0,35.6
"ASUS Vivobook 15, 15.6"" FHD (1920 x 1080), Intel Core i3-1315U, (8GB RAM/512GB SSD/Intel UHD iGPU/Windows 11/M365 Basic (1...","₹32,989",https://www.amazon.in/dp/B0DYF2678B,51990.0,36.55
"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39....","₹39,990",https://www.amazon.in/dp/B0CY2PLQ8N,56831.0,29.63
"ASUS Gaming V16 (2025) 14th Gen,Intel Core 5 210H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/...","₹76,990",https://www.amazon.in/dp/B0F5N2ZK2S,88990.0,13.48
"HP 15, 13th Gen Intel Core i7-1355U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, 15.6’’/39.6cm, Win11, M365(1yr)* Office 24, Si...","₹63,490",https://www.amazon.in/dp/B0DTTS34NW,83034.0,23.54
"Sponsored Ad - Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office...","₹32,985",https://www.amazon.in/dp/B09MM58Y7Q,47290.0,30.25
